,URL,German Headline,Unique?,Relevant?,Episode?,1st theme,2nd theme,3rd theme
11531,"http://www.pz-news.de/news_artikel,-trump-rueckt-von-forderung-nach-schaerferem-waffenrecht-ab-_arid,1218152.html",Trump rückt von Forderung nach schärferem Waffenrecht ab - News-Ticker - Pforzheimer Zeitung,Unique,y,n,3,2,
26142,http://www.watson.ch/international/watson-leser%20empfehlen/415901386-diese-grafik-zeigt-eindr%c3%bccklich--wie-allt%c3%a4glich-massenschiessereien-in-den-usa-sind,"Diese Grafik zeigt eindrücklich, wie alltäglich Massenschiessereien in den USA …",Unique,y,n,8,,
13613,http://www.fr.de/politik/usa-nra-klagt-gegen-verschaerftes-waffengesetz-in-florida-a-1464718,USA: NRA klagt gegen verschärftes Waffengesetz in Florida | FR.de,Unique,y,n,3,2,
17600,http://www.ksta.de/politik/waffengesetze-us-praesident-trump-will-fuer--freunde--aus-waffenlobby-einstehen-26814700,Politik Waffengesetze : US-Präsident Trump will für „Freunde' aus Waffenlobby einstehen Der Präsident will das Recht auf Waffenbesitz in den USA nicht einschränken.,Unique,y,n,3,1,
7928,"http://www.mittelhessen.de/hessen-welt/themen-des-tages_artikel,-schueler-in-den-usa-demonstrieren-fuer-schaerferes-waffenrecht-_arid,1187209.html",Schüler in den USA demonstrieren für schärferes Waffenrecht - Themen des Tages - mittelhessen.de,Unique,y,n,7,2,
11386,http://www.t-online.de/nachrichten/ausland/usa/id_83254296/us-praesident-trump-will-sich-nach-massaker-mit-schuelern-treffen.html,Debatte nach Amoklauf in Florida - Trump rückt das FBI in den Fokus,Unique,y,y,3,,
8475,http://www.general-anzeiger-bonn.de/news/panorama/sch%c3%bcler-protestieren-gegen-die-waffengewalt-in-den-usa-article3815597.html,Hunderttausende auf der Straße Schüler protestieren gegen die Waffengewalt in den USA,Unique,y,n,7,2,
23172,http://www.tagesspiegel.de/politik/waffengesetz-in-den-usa-dem-massaker-folgt-nur-ein-refoermchen/20421324.html,Waffengesetz in den USA :  Dem Massaker folgt nur ein Reförmchen,Unique,y,y,2,,
11389,https://home.1und1.de/magazine/politik/us-praesident-donald-trump/donald-trump-waffenrecht-usa-verschaerft-32828644,Donald Trump: Waffenrecht in den USA soll verschärft werden,Unique,y,n,3,2,
44603,http://www.tagesschau.de/multimedia/video/video-145649.html,Video: Waffenrecht in den USA: Präsident Obama kündigt Verschärfung an | tagesschau.de,Unique,y,n,3,2,
8118,https://www.harzkurier.de/panorama/article213835361/massenprotest-in-den-usa-gegen-waffengewalt.html,Massenprotest in den USA gegen Waffengewalt - Panorama - HARZ KURIER,Unique,y,n,7,,
15863,"https://www.berchtesgadener-anzeiger.de/startseite_artikel,-schueler-in-den-usa-demonstrieren-fuer-schaerferes-waffenrecht-_arid,391899.html",23:42 Uhr Schüler in den USA demonstrieren für schärferes Waffenrecht,Unique,y,n,7,2,
14956,http://www.playm.de/2018/02/schul-amoklauf-trump-390415/,Nach Schul-Amoklauf: Donald Trump fordert Rating-System,Unique,y,y,3,5,
11484,http://www.dieharke.de/nachrichten/top-themen-787/532944/schueler_in_den_usa_demonstrieren_fuer_schaerferes_waffenrecht.html,Schüler in den USA demonstrieren für schärferes Waffenrecht | Top-Themen | Deutschland & Welt | DIE HARKE,Unique,y,n,7,2,
43390,http://www.lahrer-zeitung.de/inhalt.usa-sitzblockade-im-us-kongres-fuer-strengeres-waffenrecht.888163a6-66fc-4df4-819a-bb1212d53e48.html,4 USA Sitzblockade im US-Kongres für strengeres Waffenrecht,Unique,y,n,3,2,
16409,https://www.abendblatt.de/politik/article213834941/Erst-der-Anfang-Massenprotest-gegen-Waffengewalt-in-USA.html,Erst der Anfang - Massenprotest gegen Waffengewalt in USA,Unique,y,n,7,,
27728,http://bundesdeutsche-zeitung.de/headlines/world-headlines/trumps-aeusserungen-zum-waffenrecht-genug-ist-genug-962803,Trumps Äußerungen zum Waffenrecht – Genug ist genug,Unique,y,n,3,2,
11009,"http://www.frankenpost.de/deutschlandwelt/schlaglichter/massenprotest-gegen-waffengewalt-in-den-usa;art2822,6046965",Massenprotest gegen Waffengewalt in den USA | Frankenpost,Unique,y,n,7,,
25739,https://www.zeitjung.de/las-vegas-attentat-waffen-gesetze-verschaerfung/,130 Attentate in 50 Jahren – Darum werden die USA trotz Las Vegas ihre Waffengesetze nicht ändern,Unique,y,y,1,2,
25288,https://www.emderzeitung.de/aus-aller-welt/vermischtes/~/trump-will-auch-nach-texas-nicht-am-waffenrecht-ruetteln-691713/,Trump will auch nach Texas nicht am Waffenrecht rütteln - Emder Zeitung,Unique,y,y,3,1,
11900,http://www.br.de/nachrichten/eine-tote-bei-schiesserei-an-schule-in-alabama-florida-fuer-schaerfere-waffengesetze100.html,USA Eine Tote bei Schießerei an Schule in Alabama - Florida für schärfere Waffengesetze,Unique,y,y,2,,
15025,http://www.fan-lexikon.de/musik/news/taylor-swift-fuer-schaerfere-waffengesetze-in-den-usa.223212.html,Taylor Swift für schärfere Waffengesetze in den USA - Taylor Swift News,Unique,y,n,2,,
8991,http://www.lz.de/ueberregional/topthemen/22095933_massenprotest-gegen-waffengewalt-bewegt-usa.html,Massenprotest gegen Waffengewalt bewegt USA | Topthemen - LZ.de,Unique,y,n,7,,
24565,http://www.wiwo.de/politik/ausland/schusswaffen-in-den-usa-demokratische-generalstaatsanwaelte-lehnen-waffengesetz-ab/20490802.html,Schusswaffen in den USA: Demokratische Generalstaatsanwälte lehnen Waffengesetz ab,Unique,y,n,3,2,
12758,"http://www.obermain.de/ueberregional/brennpunkte/art2179,634610",Massenprotest gegen Waffengewalt bewegt USA | obermain.de,Unique,y,n,7,,
1615,http://www.general-anzeiger-bonn.de/news/panorama/debatte-%c3%bcber-waffengewalt-in-den-usa-nach-schie%c3%9ferei-in-schule-neu-entfacht-article3856632.html?f=111,Santa Fe High School : Debatte über Waffengewalt in den USA nach Schießerei in Schule neu entfacht,Unique,y,y,7,,
23335,https://www.stern.de/politik/ausland/donald-trump-twittert-halbrichtige-beileidsbekundung-zu-altem-amoklauf-7419048.html,Schießerei in Kalifornien Donald Trump twittert halbrichtige Beileidsbekundung zu altem Amoklauf,Unique,y,y,3,,
12568,http://unternehmen-heute.de/news.php?newsid=491405,Schulen - Hunderttausende demonstrieren in den USA für ein schärferes Waffenrecht - UNTERNEHMEN-HEUTE.de,Unique,y,n,7,2,
15241,http://www.ln-online.de/nachrichten/brennpunkte/trump-trifft-nach-schulmassakern-schueler-und-lehrer,22:59 Treffen mit Trump Schüler in den USA demonstrieren für schärferes Waffenrecht,Unique,y,n,3,2,
44191,http://waz.m.derwesten.de/dw/politik/amerika-eine-zutiefst-militarisierte-gesellschaft-id11991877.html?service=mobile,"Waffenrecht Amerika, eine zutiefst militarisierte Gesellschaft",Unique,y,n,1,8,
14945,http://www.ntz.de/nachrichten/weltweit/brennpunkte/artikel/massenprotest-in-den-usa-gegen-waffengewalt/,Massenprotest in den USA gegen Waffengewalt Washington (dpa) - Knapp sechs Wochen nach dem Schulmassaker von Parkland haben…,Unique,y,y,7,5,
17662,http://www.watson.ch/international/usa/682158308-trump-will-opfern-von-amoklauf-sein-beileid-aussprechen-%e2%80%93-und-macht-groben-fehler,Trump will Opfern von Amoklauf sein Beileid aussprechen – und macht groben Fehler,Unique,y,n,3,,
39714,http://www.zeit.de/politik/2016-01/usa-barack-obama-waffengesetz,USA: Obama macht Ernst mit Verschärfung des Waffengesetzes,Unique,y,n,3,2,
20234,http://de.answers.yahoo.com/question/index?qid=20180215104111aa41a81,"Wie kann man die Waffenlobby und die konsevativen Republikaner in den USA zur Einsicht bewegen, die Waffengesetze zu verschärfen?",Unique,y,n,3,2,
13265,"https://www.morgenweb.de/bruhrainer-zeitung_artikel,-bruhrainer-zeitung-donald-trump-will-waffengesetze-in-den-usa-verschaerfen-_arid,1208223.html",Donald Trump will Waffengesetze in den USA verschärfen,Unique,y,n,3,2,
14265,http://www.newsdeutschland.com/n/wissen/75io201ad/trump-zu-kleineren-korrekturen-des-waffenrechts-bereit.htm,Trump zu kleineren Korrekturen des Waffenrechts bereit - News Deutschland,Unique,1,0,3,2,
40190,http://www.handelsblatt.com/politik/international/nach-amoklauf-in-orlando-clinton-und-trump-streiten-im-wahlkampf-ueber-den-islam/13729214.html?nlayer=news_1985586,Nach Amoklauf in Orlando :  Clinton und Trump streiten im Wahlkampf über den Islam,Unique,1,0,3,6,
38321,http://www.stern.de/politik/clinton-vs--trump--wahlprogramme-im-vergleich-6909820.html,"US-Wahlkampf Homo-Ehe, Todesstrafe, Waffenrecht - was Clinton und Trump dazu sagen",Unique,1,0,1,3,
40409,http://www.ad-hoc-news.de/orlando-buchstaeblich-jeden-tag-sterben-in-den--/de/news/49994314,Orlando - Buchstäblich jeden Tag sterben in den USA Dutzende Menschen durch Waffengewalt,Unique,1,0,8,,
43452,http://www.zvw.de/inhalt.usa-keine-verschaerfung-des-us-waffenrechts-in-sicht.8f3fb9a8-493e-46ab-8540-b056b64c89af.html,USA Blockade im US-Senat: Kein strengeres Waffenrecht in Sicht,Unique,1,0,3,2,
45771,http://www.spiegel.de/politik/ausland/waffengesetze-in-den-usa-so-zieht-die-waffenlobby-ihre-faeden-a-1102120.html,Waffengesetze in den USA: So zieht die Waffenlobby ihre Fäden - SPIEGEL ONLINE,Unique,1,0,1,3,
29516,http://www.ad-hoc-news.de/mit-seiner-indirekten-aufforderung-zu-waffengewalt-sei--/de/News/50706984,"Mit seiner indirekten Aufforderung zu Waffengewalt, sei Donald Trump zu weit gegangen, sagt Hillary Clinton weiterlesen...",Unique,1,0,3,,
746,http://www.virtualnights.com/magazin/wtf-kinderlied-bereitet-kindergartenkinder-in-den-usa-auf-amoklauf-vor.56184,WTF: Kinderlied bereitet Kindergartenkinder in den USA auf Amoklauf vor,Unique,1,0,8,,
8715,http://www.augsburger-allgemeine.de/politik/Donald-Trump-verspricht-Mini-Aenderungen-am-US-Waffenrecht-id42964786.html,Donald Trump verspricht Mini-Änderungen am US-Waffenrecht,Unique,1,0,3,2,
14972,http://www.brennessel.com/brennessel/news/detailview.php?id=171556,Trump will US-Waffenrecht korrigieren,Unique,1,0,3,2,
7490,https://www.berliner-zeitung.de/kultur/film/christian-bale-ueber-waffengewalt-in-den-usa--wir-erwachsenen-sollten-uns-schaemen--30546016,Christian Bale über Waffengewalt in den USA: „Wir Erwachsenen sollten uns schämen“,Unique,1,0,7,,
21475,http://www.derstandard.de/story/2000065477988/usa-viele-waffen-wenige-regeln,"Feature Hintergrund 256 Postings Waffengesetze in den USA USA: Viele Waffen, wenige Regeln Mehr als ein Drittel aller US-Amerikaner lebt in einem Haushalt, in dem es Waffen gibt. Nur wenige Gesetze beschr&#228;nken den Gebrauch",Unique,1,0,1,,
13661,"https://www.gea.de/welt/weltspiegel_artikel,-massenprotest-in-usa-gegen-waffengewaltgenug-ist-genug-_arid,6048762.html",Massenprotest in USA gegen Waffengewalt: »Genug ist genug«,Unique,1,0,7,,
11462,https://www.derwesten.de/politik/march-for-our-lives-laut-und-deutlich-id213834893.html,Waffengesetze - „March for Our Lives': Massendemo gegen Waffen in den USA - Politik - derwesten.de,Unique,1,0,1,7,
12695,https://www.shz.de/sport/fussball/bundesliga/mehrere-us-firmen-beenden-unterstuetzung-fuer-nra-id19177456.html,Debatte um Waffenrecht in den USA: Mehrere US-Firmen beenden Unterstützung für NRA,Unique,1,0,9,1,
8774,http://www.neues-deutschland.de/artikel/1083439.minuten-und-sekunden-schweigen-gegen-waffengewalt.html,6 Minuten und 20 Sekunden Schweigen gegen Waffengewalt Landesweite Proteste nach dem jüngsten Schulmassaker in der USA / Schüler fordern eine Verschärfung der Waffenkontrollen,Unique,1,0,7,2,
26369,https://www.meinanzeiger.de/gera/c-politik/eine-debatte-ueber-das-waffengesetz-in-den-usa-ist-notwendig_a73545,Eine Debatte über das Waffengesetz in den USA ist notwendig,Unique,1,0,1,,
45201,http://www.stern.de/video-spike-lee-warnt-vor-waffengewalt-in-den-usa-6880918.html," Video, Spike Lee warnt vor Waffengewalt in den USA",Unique,1,0,7,,
11782,http://www.westfalen-blatt.de/ueberregional/nachrichten/meldungen/3231672-demonstrationen-massenprotest-in-den-usa-gegen-waffengewalt,Meldungen: Massenprotest in den USA gegen Waffengewalt,Unique,1,0,7,,
15567,http://www.derstandard.de/story/2000074944528/us-firmen-beenden-zusammenarbeit-mit-waffenlobby-nra,29 Postings USA US-Firmen beenden Zusammenarbeit mit Waffenlobby NRA Zunehmender Druck in sozialen Netzwerken nach dem Amoklauf eines 19-J&#228;hrigen in Florida,Unique,1,0,9,7,
11940,http://www.radio-mk.de/nachrichten/lokalnachrichten/single/article/emotionaler-protest-gegen-waffengewalt-in-den-usa/,Radio-MK: Emotionaler Protest gegen Waffengewalt in den USA,Unique,1,0,7,,
8129,http://www.ad-hoc-news.de/sonstige/seit-dem-amoklauf-in-parkland-waechst-in-den-usa-der-widerstand-gegen-die/56157025,Seit dem Amoklauf in Parkland wächst in den USA der Widerstand gegen die lockeren Waffengesetze. ...,Unique,1,0,7,1,
12509,http://www.spiegel.de/video/us-schueler-demonstrieren-zu-tausenden-gegen-waffengewalt-video-99017090.html,Schüler in den USA: Tausende demonstrieren gegen Waffengewalt,Unique,1,0,7,,
15586,http://www.newsdeutschland.com/n/politik/75ippp2aj/demonstrationen-erst-der-anfang-massenprotest-gegen.htm,Demonstrationen: Erst der Anfang - Massenprotest gegen Waffengewalt in USA - News Deutschland,Unique,1,0,7,,
15673,http://www.handelsblatt.com/politik/international/weltgeschichten/kort/weltgeschichte-elternabend-in-den-usa-oder-wie-ueberleben-meine-kinder-einen-amoklauf-/21070896.html,Elternabend in den USA – oder wie überleben meine Kinder einen Amoklauf?,Unique,1,0,5,,
9580,http://www.spiegel.de/lebenundlernen/schule/usa-schueler-streiken-fuer-schaerfere-waffengesetze-a-1204030.html,Protest in den USA Schüler streiken für schärfere Waffengesetze,Unique,1,0,7,2,
9832,https://www.harzkurier.de/panorama/article213512669/schueler-in-den-usa-demonstrieren-fuer-schaerferes-waffenrecht.html,Schï¿½ler in den USA demonstrieren fï¿½r schï¿½rferes Waffenrecht - Panorama - HARZ KURIER,Unique,1,0,7,,
11362,https://www.zvw.de/inhalt.international-hunderttausende-marschieren-gegen-waffengewalt-in-den-usa.b39517a9-6e61-425d-a6ae-7e31c8c26b57.html,International: Massenprotest gegen Waffengewalt bewegt USA,Unique,1,0,7,,
44619,http://www.deutschlandradiokultur.de/waffengesetze-in-den-usa-blockierer-in-der-mehrheit.979.de.html?dram:article_id=345666,Waffengesetze in den USA Blockierer in der Mehrheit,Unique,1,0,1,3,
10708,https://www.n-tv.de/ticker/trump-rueckt-von-forderung-nach-schaerferem-waffenrecht-ab-article20332015.html,Regierung Schulen Kriminalität Waffen USA: Trump rückt von Forderung nach schärferem Waffenrecht ab,Unique,1,0,3,2,
11589,https://www.focus.de/politik/ausland/usa-hunderttausende-schueler-demonstrieren-fuer-schaerferes-us-waffenrecht_id_8666130.html,USA Hunderttausende Schüler demonstrieren für schärferes US-Waffenrecht,Unique,1,0,7,2,
13057,https://www.volksstimme.de/topthemen/massenprotest-gegen-waffengewalt-bewegt-usa/1521992463000,Hunderttausende protestieren Massenprotest gegen Waffengewalt bewegt Amerika,Unique,1,0,7,,
12075,http://www.heimatzeitung.de/nachrichten/bayern/2885841_Hunderttausende-gehen-in-den-USA-gegen-Waffengewalt-auf-die-Strasse.html,Hunderttausende gehen in den USA gegen Waffengewalt auf die Straße Artikel bookmarken,Unique,1,0,7,,
16667,http://www.badische-zeitung.de/emotionaler-protest-gegen-waffengewalt-in-den-usa,17 Minuten Stille 18:31 Uhr Emotionaler Protest gegen Waffengewalt in den USA,Unique,1,0,7,,
15205,https://ze.tt/dieser-kuriose-vorschlag-soll-zu-schaerferen-waffengesetzen-in-den-usa-fuehren/,Dieser kuriose Vorschlag soll zu schärferen Waffengesetzen in den USA führen,Unique,1,0,2,,
8923,"http://www.infranken.de/ueberregional/historischer-protest-gegen-waffengewalt-in-den-usa-hunderttausende-auf-den-strassen;art55462,3268597",Historischer Protest gegen Waffengewalt in den USA - Hunderttausende auf den Straßen,Unique,1,0,7,,
8286,"http://www.np-coburg.de/deutschlandwelt/schlaglichter/hunderttausende-protestieren-in-den-usa-gegen-waffengewalt;art2822,6047086",Hunderttausende protestieren in den USA gegen Waffengewalt | Neue Presse Coburg,Unique,1,0,7,,
9871,http://www.velobiz.de/Redaktion/Nachrichten/19312/Verkaufsboykott-weitet-sich-aus/USA-Debatte-um-Waffengesetze-trifft-einige-Fahrradzubehoer-Marken-hart.aspx,USA: Debatte um Waffengesetze trifft einige Fahrradzubehör-Marken hart,Unique,1,0,1,9,
13691,https://www.verlagshaus-jaumann.de/inhalt.usa-hunderttausende-zu-protest-gegen-waffengewalt-in-washington-erwartet.f4c0e475-20b2-49fc-9e53-8d9f7fad5987.html,USA: Hunderttausende zu Protest gegen Waffengewalt in Washington erwartet,Unique,1,0,7,,
11062,"https://www.morgenweb.de/newsticker/newsticker-dpa_ticker,-massenprotest-in-den-usa-gegen-waffengewalt-_artickerid,1222053.html",20:38 Massenprotest in den USA gegen Waffengewalt,Unique,1,0,7,,
38725,http://www.volksstimme.de/thema/donnerstag/hintergrund-waffen-und-waffenrecht-in-den-usa/1449125531000,Hintergrund: Waffen und Waffenrecht in den USA &#8250;,Unique,1,0,1,,
11206,http://www.general-anzeiger-bonn.de/news/panorama/sch%c3%bcler-protestieren-gegen-die-waffengewalt-in-den-usa-article3815597.html?f=111,Hunderttausende auf der Straße: Schüler protestieren gegen die Waffengewalt in den USA,Unique,1,0,7,,
