guid,German,English,1st_theme,2nd_theme
13460,Schusswaffen in den USA: Floridas Parlament stimmt gegen schärferes Waffengesetz,Firearms in the US: Florida Parliament votes against stricter weapons law,3,2
7353,Foto: Kevin M. Cox/The Galveston County Daily News via AP 186 Postings Texas Acht Tote bei neuerlichem Amoklauf in US-Schule Sch&#252;ler als mutma&#223;licher T&#228;ter – Trump: Absolut schreckliche Tat,Photo: Kevin M. Cox / The Galveston County Daily News via AP 186 Postings Texas Eight people killed in another school shoot-up in the US school Schmaler as a mutant T: ter - Trump: Absolutely terrible act,5,3
8904,Trump denkt nun doch übers Waffengesetz nach,Trump now thinks about the weapons law,3,2
46101,USA Obama will Waffengesetze im Alleingang verschärfen,USA Obama wants to single-handedly tighten gun laws,3,2
4198,Massendemo gegen Waffengewalt : Die Jugend marschiert gegen Trump,Mass demonstration against gun violence: The youth is marching against Trump,7,3
14648,Schüler in den USA demonstrieren für schärferes Waffenrecht - Deutschland & Welt - Rhein-Zeitung,Students in the USA demonstrate for sharper weapon law - Germany & World - Rhein-Zeitung,7,2
8013,Fotos USA: Hunderttausende demonstrieren gegen Waffengewalt,Photos USA: Hundreds of thousands demonstrate against gun violence,7,
30478,"Neue Westfälische (Bielefeld): Kommentar: Trumps Äußerungen zum Waffenrecht Genug ist genug Dirk Hautkapp, Washington....","Neue Westfälische (Bielefeld): Comment: Trump's statements on gun law Enough is enough Dirk Hautkapp, Washington ....",3,2
15837,Nach Amoklauf in Florida: Trump will Schnellschuss-Vorrichtungen verbieten lassen,After rampage in Florida: Trump wants to ban guns,3,2
15598,Schlaglichter: Massenprotest in den USA gegen Waffengewalt,Highlights: Mass protest in the US against gun violence,7,
13185,Demonstrationen Massenprotest gegen Waffengewalt bewegt USA Hunderttausende mobilisiert,Demonstrations mass protest against armed force moves US mobilized hundreds of thousands,7,
22393,04:42 Politik Ausland Nach Highschool-Blutbad Trump besucht Amoklauf-Opfer im Krankenhaus,04:42 Politics Abroad After high school bloodbath Trump visits a victim of a killing spree in the hospital,3,
16481,USA: Schüler demonstrieren für schärferes Waffenrecht,USA: Students demonstrating for firmer gun rights,7,2
13717,Nach Florida-Attentat: Trump zeigt sich offen für strengere Waffengesetze,After Florida assassination: Trump is open to stricter gun laws,3,2
10205,Schüler-Proteste gegen Waffengewalt in den USA :  Kinder der Demokratie,Student protests against gun violence in the US: children of democracy,7,2
8040,Schüler in den USA demonstrieren für schärferes Waffenrecht | Haller Kreisblatt - Politik,Students in the US Demonstrate Stricter Gun Law | Haller Kreisblatt - Politics,7,2
39113,"Waffenrecht Amerika, eine zutiefst militarisierte Gesellschaft Die Tragödie von Dallas ruft Erinnerungen an vorige Attentate wach. Doch Amerika dürfte weiter am Waffenrecht festhalten. Warum?  mehr","Weapon Law America, a deeply militarized society The tragedy of Dallas evokes memories of previous attacks. But America should continue to hold on to gun rights. Why? more",8,1
10877,+++ US-Politik im News-Ticker +++ Trump rudert bei schärferen Waffengesetzen zurück,#ERROR!,3,2
4348,"Amoklauf in Newtown, USA: Kommen schärfere Waffeng...","Rampage in Newtown, USA: Sharper weaponry is coming",2,
13531,Massenprotest gegen Waffengewalt bewegt Amerika - Themen des Tages - mittelhessen.de,Mass protest against armed force moves America - topics of the day - mittelhessen.de,7,
18043,"Reaktionen auf Florida-Amoklauf Hollywoods scharfer Angriff auf Trumps ""rechte Konsorten"" und die Waffenlobby","Reactions to Florida rampage Hollywood's sharp attack on Trump's ""right-wing consorts"" and the gun lobby",3,
11531,Trump rückt von Forderung nach schärferem Waffenrecht ab - News-Ticker - Pforzheimer Zeitung,Trump moves away from demand for stricter weapons law - News Ticker - Pforzheimer Zeitung,3,2
26142,"Diese Grafik zeigt eindrücklich, wie alltäglich Massenschiessereien in den USA …",This graphic shows impressively how everyday mass shootings in the US ...,8,
13613,USA: NRA klagt gegen verschärftes Waffengesetz in Florida | FR.de,USA: NRA sues Florida's tighter gun laws | FR.de,3,2
17600,Politik Waffengesetze : US-Präsident Trump will für „Freunde' aus Waffenlobby einstehen Der Präsident will das Recht auf Waffenbesitz in den USA nicht einschränken.,"Politics Weapon laws: US President Trump wants to stand for ""friends"" from weapons lobby The President does not want to restrict the right to weapons in the US.",3,1
7928,Schüler in den USA demonstrieren für schärferes Waffenrecht - Themen des Tages - mittelhessen.de,Students in the USA demonstrate for sharper weapon law - topics of the day - mittelhessen.de,7,2
11386,Debatte nach Amoklauf in Florida - Trump rückt das FBI in den Fokus,Debate after rampage in Florida - Trump puts the FBI in the spotlight,3,
8475,Hunderttausende auf der Straße Schüler protestieren gegen die Waffengewalt in den USA,Hundreds of thousands on the street Students protesting the gun violence in the US,7,2
23172,Waffengesetz in den USA :  Dem Massaker folgt nur ein Reförmchen,Weapons law in the US: The massacre is followed only by a little reformer,2,
11389,Donald Trump: Waffenrecht in den USA soll verschärft werden,Donald Trump: Weapons law in the US should be tightened,3,2
44603,Video: Waffenrecht in den USA: Präsident Obama kündigt Verschärfung an | tagesschau.de,Video: Weapons Law in the US: President Obama Announces Tightening | tagesschau.de,3,2
8118,Massenprotest in den USA gegen Waffengewalt - Panorama - HARZ KURIER,Mass protest in the US against armed violence - Panorama - RESIN KURIER,7,
15863,23:42 Uhr Schüler in den USA demonstrieren für schärferes Waffenrecht,23:42 clock students in the US demonstrate for sharper gun rights,7,2
14956,Nach Schul-Amoklauf: Donald Trump fordert Rating-System,After school rampage: Donald Trump calls for rating system,3,5
11484,Schüler in den USA demonstrieren für schärferes Waffenrecht | Top-Themen | Deutschland & Welt | DIE HARKE,Students in the US Demonstrate Stricter Gun Law | Top topics | Germany & World | THE RAKE,7,2
43390,4 USA Sitzblockade im US-Kongres für strengeres Waffenrecht,4 United States sit-down at the US Congress for Stricter Gun Law,3,2
16409,Erst der Anfang - Massenprotest gegen Waffengewalt in USA,Only the beginning - mass protest against gun violence in the USA,7,
27728,Trumps Äußerungen zum Waffenrecht – Genug ist genug,Trump's statements on gun law - Enough is enough,3,2
11009,Massenprotest gegen Waffengewalt in den USA | Frankenpost,Mass protest against gun violence in the US | Frankenpost,7,
25739,130 Attentate in 50 Jahren – Darum werden die USA trotz Las Vegas ihre Waffengesetze nicht ändern,130 assassinations in 50 years - That's why the US will not change its weapons laws despite Las Vegas,1,2
25288,Trump will auch nach Texas nicht am Waffenrecht rütteln - Emder Zeitung,Trump does not want to shake the gun right to Texas - Emder Zeitung,3,1
11900,USA Eine Tote bei Schießerei an Schule in Alabama - Florida für schärfere Waffengesetze,USA A gunmen killed in shootout at school in Alabama - Florida for tighter gun laws,2,
15025,Taylor Swift für schärfere Waffengesetze in den USA - Taylor Swift News,Taylor Swift for Stricter Gun Laws in the US - Taylor Swift News,2,
8991,Massenprotest gegen Waffengewalt bewegt USA | Topthemen - LZ.de,Mass protest against armed force moves USA | Top topics - LZ.de,7,
24565,Schusswaffen in den USA: Demokratische Generalstaatsanwälte lehnen Waffengesetz ab,Firearms in the US: Democratic Attorney General rejects gun law,3,2
12758,Massenprotest gegen Waffengewalt bewegt USA | obermain.de,Mass protest against armed force moves USA | obermain.de,7,
1615,Santa Fe High School : Debatte über Waffengewalt in den USA nach Schießerei in Schule neu entfacht,Santa Fe High School: Debate on gun violence in the US rekindled after shootout in school,7,
23335,Schießerei in Kalifornien Donald Trump twittert halbrichtige Beileidsbekundung zu altem Amoklauf,Shootout in California Donald Trump tweets half-hearted condolences to old rampage,3,
12568,Schulen - Hunderttausende demonstrieren in den USA für ein schärferes Waffenrecht - UNTERNEHMEN-HEUTE.de,Schools - Hundreds of thousands demonstrate in the US for a stricter weapon law - UNTERNEHMEN-HEUTE.de,7,2
15241,22:59 Treffen mit Trump Schüler in den USA demonstrieren für schärferes Waffenrecht,22:59 Meeting with Trump Students in the US Demonstrate Stricter Gun Law,3,2
44191,"Waffenrecht Amerika, eine zutiefst militarisierte Gesellschaft","Gun Law America, a deeply militarized society",1,8
14945,Massenprotest in den USA gegen Waffengewalt Washington (dpa) - Knapp sechs Wochen nach dem Schulmassaker von Parkland haben…,Washington (dpa) - Barely six weeks after the school massacre of Parkland have ...,7,5
17662,Trump will Opfern von Amoklauf sein Beileid aussprechen – und macht groben Fehler,Trump wants to offer condolences to victims of rampage - and makes gross mistakes,3,
39714,USA: Obama macht Ernst mit Verschärfung des Waffengesetzes,USA: Obama is serious about tightening the weapons law,3,2
20234,"Wie kann man die Waffenlobby und die konsevativen Republikaner in den USA zur Einsicht bewegen, die Waffengesetze zu verschärfen?",How to make the gun lobby and Republican Republicans in the US understand the gun laws?,3,2
13265,Donald Trump will Waffengesetze in den USA verschärfen,Donald Trump wants to tighten gun laws in the US,3,2
14265,Trump zu kleineren Korrekturen des Waffenrechts bereit - News Deutschland,Trump ready for minor corrections of weapons legislation - News Germany,3,2
40190,Nach Amoklauf in Orlando :  Clinton und Trump streiten im Wahlkampf über den Islam,After rampage in Orlando: Clinton and Trump fight in the election campaign about Islam,3,6
38321,"US-Wahlkampf Homo-Ehe, Todesstrafe, Waffenrecht - was Clinton und Trump dazu sagen","US election campaign Homosexual marriage, death penalty, weapons law - what Clinton and Trump say about it",1,3
40409,Orlando - Buchstäblich jeden Tag sterben in den USA Dutzende Menschen durch Waffengewalt,"Orlando - Literally every day in the US, dozens of people die from gun violence",8,
43452,USA Blockade im US-Senat: Kein strengeres Waffenrecht in Sicht,US blockade in the US Senate: No stricter weapons legislation in sight,3,2
45771,Waffengesetze in den USA: So zieht die Waffenlobby ihre Fäden - SPIEGEL ONLINE,Weapons laws in the US: So pulls the gun lobby their threads - SPIEGEL ONLINE,1,3
29516,"Mit seiner indirekten Aufforderung zu Waffengewalt, sei Donald Trump zu weit gegangen, sagt Hillary Clinton weiterlesen...","With his indirect call for armed force, Donald Trump went too far, says Hillary Clinton read more ...",3,
746,WTF: Kinderlied bereitet Kindergartenkinder in den USA auf Amoklauf vor,WTF: Children's song prepares kindergarten children in the USA for rampage,8,
8715,Donald Trump verspricht Mini-Änderungen am US-Waffenrecht,Donald Trump promises mini-changes to US weapons law,3,2
14972,Trump will US-Waffenrecht korrigieren,Trump wants to correct US weapons law,3,2
7490,Christian Bale über Waffengewalt in den USA: „Wir Erwachsenen sollten uns schämen“,"Christian Bale on gun violence in the US: ""We adults should be ashamed""",7,
21475,"Feature Hintergrund 256 Postings Waffengesetze in den USA USA: Viele Waffen, wenige Regeln Mehr als ein Drittel aller US-Amerikaner lebt in einem Haushalt, in dem es Waffen gibt. Nur wenige Gesetze beschr&#228;nken den Gebrauch","Feature Background 256 Postings Weapon laws in the US USA: Many weapons, few rules More than a third of all Americans live in a household that has weapons. Only a few laws restrict the use",1,
13661,Massenprotest in USA gegen Waffengewalt: »Genug ist genug«,"Mass protest in US against gun violence: ""Enough is enough""",7,
11462,Waffengesetze - „March for Our Lives': Massendemo gegen Waffen in den USA - Politik - derwesten.de,Weapon laws - 'March for Our Lives': mass demonstration against weapons in the US - Politics - derwesten.de,1,7
12695,Debatte um Waffenrecht in den USA: Mehrere US-Firmen beenden Unterstützung für NRA,US arms law debate: Several US companies end support for NRA,9,1
8774,6 Minuten und 20 Sekunden Schweigen gegen Waffengewalt Landesweite Proteste nach dem jüngsten Schulmassaker in der USA / Schüler fordern eine Verschärfung der Waffenkontrollen,6 minutes and 20 seconds silence against gun violence Nationwide protests after the recent US school massacre / students call for a tightening of weapons controls,7,2
26369,Eine Debatte über das Waffengesetz in den USA ist notwendig,A debate on the weapons law in the US is necessary,1,
45201," Video, Spike Lee warnt vor Waffengewalt in den USA"," Video, Spike Lee warns of gun violence in the US",7,
11782,Meldungen: Massenprotest in den USA gegen Waffengewalt,Messages: mass protest in the US against gun violence,7,
15567,29 Postings USA US-Firmen beenden Zusammenarbeit mit Waffenlobby NRA Zunehmender Druck in sozialen Netzwerken nach dem Amoklauf eines 19-J&#228;hrigen in Florida,29 Postings US US companies end deal with arms lobby NRA Increasing pressure on social networks following the rampage of a 19-year-old in Florida,9,7
11940,Radio-MK: Emotionaler Protest gegen Waffengewalt in den USA,Radio-MK: Emotional protest against gun violence in the USA,7,
8129,Seit dem Amoklauf in Parkland wächst in den USA der Widerstand gegen die lockeren Waffengesetze. ...,"Since the rampage in Parkland in the United States, the resistance against the loose weapons laws is growing. ...",7,1
12509,Schüler in den USA: Tausende demonstrieren gegen Waffengewalt,Students in the US: Thousands demonstrate against gun violence,7,
15586,Demonstrationen: Erst der Anfang - Massenprotest gegen Waffengewalt in USA - News Deutschland,Demonstrations: Only the Beginning - Mass Protest Against Gun Violence in USA - News Germany,7,
15673,Elternabend in den USA – oder wie überleben meine Kinder einen Amoklauf?,Parents' evening in the US - or how do my children survive a killing spree?,5,
9580,Protest in den USA Schüler streiken für schärfere Waffengesetze,Protest in the US Students are striking for stricter gun laws,7,2
9832,Schï¿½ler in den USA demonstrieren fï¿½r schï¿½rferes Waffenrecht - Panorama - HARZ KURIER,Scholars in the USA demonstrate for better gun right - Panorama - RESIN KURIER,7,
11362,International: Massenprotest gegen Waffengewalt bewegt USA,International: mass protest against armed force moves USA,7,
44619,Waffengesetze in den USA Blockierer in der Mehrheit,Gun laws in the US Blockers in the majority,1,3
10708,Regierung Schulen Kriminalität Waffen USA: Trump rückt von Forderung nach schärferem Waffenrecht ab,Government Schools Crime Weapons USA: Trump moves away from demands for stricter weapons legislation,3,2
11589,USA Hunderttausende Schüler demonstrieren für schärferes US-Waffenrecht,US Hundreds of Thousands of Students Demonstrate Stricter US Arms Law,7,2
13057,Hunderttausende protestieren Massenprotest gegen Waffengewalt bewegt Amerika,Hundreds of thousands protest mass protest against gun power moves America,7,
12075,Hunderttausende gehen in den USA gegen Waffengewalt auf die Straße Artikel bookmarken,Hundreds of thousands go out in the US against gun violence Bookmark article,7,
16667,17 Minuten Stille 18:31 Uhr Emotionaler Protest gegen Waffengewalt in den USA,17 minutes silence 18:31 pm Emotional protest against gun violence in the USA,7,
15205,Dieser kuriose Vorschlag soll zu schärferen Waffengesetzen in den USA führen,This curious proposal should lead to stricter gun laws in the United States,2,
8923,Historischer Protest gegen Waffengewalt in den USA - Hunderttausende auf den Straßen,Historical protest against gun violence in the US - hundreds of thousands on the streets,7,
8286,Hunderttausende protestieren in den USA gegen Waffengewalt | Neue Presse Coburg,Hundreds of thousands protest in the US against gun violence | New Press Coburg,7,
9871,USA: Debatte um Waffengesetze trifft einige Fahrradzubehör-Marken hart,USA: Dispute over gun laws hits some bike accessory brands hard,1,9
13691,USA: Hunderttausende zu Protest gegen Waffengewalt in Washington erwartet,US: Hundreds of thousands expected to protest gun violence in Washington,7,
11062,20:38 Massenprotest in den USA gegen Waffengewalt,20:38 Mass protest in the US against armed violence,7,
38725,Hintergrund: Waffen und Waffenrecht in den USA &#8250;,Background: Weapons and weapons law in the USA;,1,
11206,Hunderttausende auf der Straße: Schüler protestieren gegen die Waffengewalt in den USA,Hundreds of thousands on the street: Students protest against US gun violence,7,
15805,Kriminalität Waffen USA: Floridas Gouverneur unterzeichnet strengeres Waffengesetz,Crime Weapons United States: Florida Governor Signs Stricter Gun Act,3,2
21172,Schießerei in Kalifornien: Donald Trump twittert halbrichtige Beileidsbekundung zu altem Amoklauf,Shootout in California: Donald Trump tweets half-hearted condolences to old rampage,3,
37141,Obama und das Waffenrecht: Es fehlt eine starke Linke in den USA,Obama and the gun right: There is a lack of a strong left in the US,3,1
12907,US-Waffengesetze Trump offen für kleine Veränderungen,US gun laws Trump open for small changes,3,1
