,guid,headline
6128,8dbdac07-dace-4a0f-a719-47c6124ec5b7,ABD'de gazete binasına silahlı saldırı! 5 kişi hayatını kaybetti - Son Dakika Haberleri
7060,931a6da9-22d0-4045-9990-a65fb6810231,ABD’de üniversitede silahlı saldırı
8182,ea41218c-90c2-4ead-bd1d-78fedf112912,Trump New York saldırganının idam edilmesini istedi
1848,e3d0e3ed-79e1-44d9-a15a-82f8d42120a7,ABD'de gazete binasına silahlı saldırı: 5 ölü
563,7f15acbf-e578-4c2f-90af-58da0044014b,ABD’de bir okulda silahlı saldırı
2644,3dff0c3a-d9f0-41d5-863c-50d477030105,Trump'tan silahlı saldırı yapılan sinagoga taziye ziyareti
5485,f6ea8b6d-fa51-4f24-baee-02e9e4500338,ABD'de lisede silahlı saldırı!
4781,ca947595-049b-439a-a63a-47917aedde9d,00:35 Trump'ın saldırgan hakkındaki açıklaması tartışma yarattı
2989,10e14626-629a-49db-b0e3-97b13c1e30c9,Son dakika: ABD’de silahlı saldırı: 1 polis öldü - MedyaFaresi.com
7648,89f602f5-fe77-4e76-a07a-fc93072b8828,"ABD'de silahlı saldırı, 58 ölü, 500'den fazla yaralı..."
7862,cbe48085-363c-40d9-9822-b2be46fc290d,"Trump, bireysel silahlanmayı İngiltere ve Fransa üzerinden savundu"
554,0af4cbc4-ec65-4c55-974e-5c0df0ca83e7,ABD’li senatöre silahlı saldırı
4780,695e1ea0-3d58-44af-8670-3e9ea89d99e7,ABD Teksas eyaletinde bir okulda silahlı saldırı: En az 8 kişi öldü
6250,b3d2991f-9df0-4cc8-9d1d-c05b4c81edb3,"ABD, saldırganın kimliğini açıkladı"
6443,1498e00c-15da-4147-a314-8da01c7929e9,ABD’de saldırgan AR-15 yarı otomatik silah kullanmış
4224,73191db0-554c-424d-bdda-2648ba3e4839,ABD saldırganı Yeni Şafak okuru mu
4370,93986da2-e4ea-4806-8a17-34ff9fd16407,ABD'de ilkokula silahlı saldırı!
4381,e78b42fa-4bdc-47c7-be4e-35f5e20e3c46,ABD’de silahlı saldırı: 20’den fazla kişi hayatını kaybetti
2129,c56d308c-8098-43b8-92f6-baf5b00ebc3a,ABD Teksas eyaletinde bir okulda silahlı saldırı: En az 8 kişi öldü
644,3e6dd730-3083-4df0-81a8-8547e5224859,"ABD'de silahlı saldırı, çok sayıda yaralı var"
3125,ef94caa3-98d7-4f96-8549-298285b47e3d,Son dakika... ABD'de gazete binasına silahlı saldırı: Ölü ve yaralılar var - Son Dakika Dünya Haberleri
2155,55ab1022-50a5-43db-93ce-1db4d1da3f5e,ABD'deki Andrews Askeri Üssü'nde silahlı saldırı alarmı
4332,2019e008-347b-4bd9-92f1-c7aa4f8cd304,ABD’de silahlı saldırı! Çok sayıda ölü var
7935,26040d51-0e75-40dd-981a-9780917394e0,ABD'de Çin konsolosluğuna silahlı saldırı
7954,738255de-efd0-4d0a-9bef-d6d1aabdfd72,ABD'de kilisede silahlı saldırı! Ölü ve yaralılar var
1527,8ec3b752-4e66-4088-bf05-b8cd06f663e7,ABD'de silahlı saldırı
9047,3c040fd0-d90a-42ee-861e-c3abf15589bc,ABD'de lisede silahlı saldırı
1532,25113a3f-d238-4ac6-86d4-49bcfd39b4d0,ABD de festivale silahlı saldırı
575,be7f81ef-905b-44dd-bac0-4f8e7b26c9b8,ABD'de gazete binasına silahlı saldırı: 5 ölü
9262,d5ec80d5-4868-4cc8-a485-ec4a40c2b44b,ABD’nin Jacksonville kentinde silahlı saldırı: 4 kişi öldü
6131,6032800f-6187-4893-bf44-32abb5c3427e,ABD'de okulda silahlı saldırı ABD'nin Florida eyaletinde bir liseye silahlı saldırı gerçekleştirdiği belirtilen şüphelinin göza...
5535,03cda44e-ab94-47df-bf75-60a50803cd66,ABD'de yine silahlı saldırı! Yaralılar var
9062,9882ccf6-366e-4a74-9dd0-776ea0156491,ABD'de silahlı saldırı: Birden fazla ölü ve yaralılar var
7837,67b7d4ad-c946-46ec-8bef-d348d7911237,ABD’nin Mississippi eyaletinde silahlı saldırı! Ölüler var
4851,cc03b447-95c7-4163-b898-84097f2d1c0c,Büyük rezalet! Trump'ın paylaştığı videodaki saldırgan Hollandalı çıktı - Haberler
1020,e1fb08a8-9cc1-4946-81b8-82986d96ba36,08:20 ABD'de kütüphaneye silahlı saldırı ölü ve yaralılar var
828,22b0597a-26be-4a1e-a2b3-638009dba3a0,ABD'de lisede silahlı saldırı! 8 kişi hayatını…
2280,d9d35d4d-fc2f-4415-8379-79890d7f38b1,8 grafikte ABD'de bireysel silahlanma
2528,96926c6f-c3ac-4079-b4e4-12ea07424643,ABD'de silahlı saldırılar tatil yapmadı: 30 ölü
1353,29ccbc46-a943-46a6-957e-a073fcb46826,ABD'de silahlı saldırı! Çok sayıda can kaybı var
1061,1a55d1d9-16b9-44b0-81d4-39434658e4cb,Son dakika: ABD’de silahlı saldırı! Çok sayıda ölü ve yaralı var
7918,a03ebf96-ad64-4a50-83bc-3f8b486d00de,ABD’de silahlı saldırı düzenleyen Türk hücresinde ölü bulundu
4943,0324f3cc-ed53-413f-84e7-75051c814c1d,ABD’de adliye binasında silahlı saldırı: 3 ölü
3783,30441d6d-e397-4010-9f18-db92de868395,ABD'de hastaneye silahlı saldırı
3836,60a4e0d4-7ab4-4a89-821d-c3e9fd3e76a9,ABD'de gece kulübüne silahlı saldırı!
8265,aac10d33-a52c-44e8-93cf-dd93fbd98f15,ABD'de silahlı saldırı! Yaralılar var!
435,60fd8cb4-a3b2-42f3-b6eb-85ca76cd260e,ABD Kuzey Karolina’da bir liseye silahlı saldırı
1311,b2d2699b-c69c-4739-9345-11271e404c09,"Trump, bireysel silahlanmayı İngiltere ve Fransa üzerinden savundu: Bıçaklar, bıçaklar, bıçaklar…"
3621,92a3ab50-2cdb-4f9a-8abd-26c3b3ff33a8,ABD’de gazete binasına silahlı saldırı: En az 5 ölü
3718,dfbb94d3-7bcf-4083-b80a-a9616c87d280,"ABD'de gazetede haber toplantısına silahlı saldırı, çok sayıda ölü var..."
4874,e91bd3a0-b08f-4f53-8313-5a62403202dd,ABD'de yine silahlı saldırı
7247,584522b6-e03b-4457-b8dd-1be1d3599fa1,ABD'de üniversite yakınında silahlı saldırı
2619,8a061895-8bef-41f5-aa75-42a2d411941d,13.9.2018 - 09:45 ABD de 5 kişiyi &#246;ld&#252;ren silahlı saldırgan intihar etti
6978,0e78c4e5-5383-4ad7-ac48-e0d460cf1f14,ABD’de çıplak saldırgan dehşeti! Ölü ve yaralılar var
2321,94b82028-8cae-4486-bcaa-789633b819a0,"ABD'de silahlı saldırı: 2 kişi öldü, 4 yaralı"
2775,35183715-1abf-46aa-b11e-858a0c67dfcd,ABD Büyükelçiliği’ne silahlı saldırı gerçekleştiren 2 kişi gözaltına alındı
8692,f725ab5f-b71c-495d-ad00-75439629af79,"ABD'de silahlı saldırı ""20'den fazla ölü, 100'de fazla yaralı var"
5677,f48433e8-d50a-4dee-a273-5aedcdbc574c,ABD li Kongre &#252;yesine silahlı saldırı
9242,22aee447-a6a6-44be-810a-fe67d0b8f076,ABD Büyükelçiliğine silahlı saldırı gerçekleştiren 2 kişi gözaltına alındı
5419,63a1b05a-2591-4bd5-a774-3c587dd3f4f2,ABD’deki okul saldırganın kimliği açıklandı
1265,0d1b8846-e819-4b76-ac0b-bf6940168415,"GÜNCEL 09:00 ABD'de silahlı saldırılar: 14 ölü, 39 yaralı"
8692,4389d46a-ca7c-4f3c-8c34-9e3620ef408e,ABD'deki kilise saldırganının şiddet kayıtları işlenmemiş
6949,4c6d42d5-6914-4643-9d26-ef640520ae87,"ABD’de silahlı saldırı: 2 ölü, 3 yaralı"
6005,47e474ee-2c75-4d1f-963e-ab6d80eacd36,ABD’de gece kulübüne silahlı saldırı: 1 ölü 14 yaralı
5006,31ce549f-f60b-4c6a-8b06-92fbd758d70b,ABD li Kongre &#252;yesine silahlı saldırı
7008,65813ee4-edbc-4455-be6c-a96b2b7c41a6,ABD´deki silahlı saldırının şüphelisi kendini öldürdü
8089,650af494-f814-4547-82eb-9a821316a440,ABD’de üniversitede bir silahlı saldırı daha ABD’nin Columbus kentinde bir üniversitede silahlı saldırı nedeniyle en az 8 kişinin yaralandığı bildirildi.
5577,5699065a-257d-451e-b970-41a7a18ed965,ABD’de süpermarkette silahlı saldırı: 3 ölü
5767,38d08072-6571-4a90-9519-498859167d34,ABD'de gazete binasına silahlı saldırı! 4 kişi hayatını kaybetti
8007,81918a1d-bad2-45cd-9345-253ca5867057,"Las Vegas’ta meydana gelen terör saldırısı, ABD tarihinin en kanlı silahlı saldırısı oldu… İşte tarih boyunca ABD’de meydana gelen ve büyük kayıplar yaşanan saldırılar"
5457,e2aa2364-1cb1-4f8d-b111-5d7863930d43,Şimdi de halk kütüphanesinde: ABD'de yine silahlı saldırı! 29 Ağustos 2017 Salı ABD'de en son silahlı saldırı olayı bu kez New Mexico eyaletinin Teksas sınırı yakınında bulunan 40 bin kişinin yaşadığı Colvis kentindeki bir halk kütüphanesinde meydana geldi.
6483,adc854d7-8f62-4c5b-a342-796dfa429e22,ABD'de bir sinagoga silahlı saldırı düzenlendi
7885,c67e6990-f2b5-4e6c-9f24-c39e36eb7b34,ABD Büyükelçiliğine silahlı saldırıda 3 tutuklama
4773,b11992d2-1519-4edf-a94d-f7a636e8d51e,ABD’deki bireysel silahlanma karşıtı eylemlere sigorta devi de katıldı
7488,1d945726-8c38-4f3a-abca-818715850a14,ABD'de çıplak saldırgan dehşeti!
20,3e9d945a-099e-4654-90d9-d1a7695d742f,ABD’de silahlı saldırgan çatışmada öldürüldü
9692,3226fa47-e84d-4617-b82c-9a18504398f8,ABD’de bir silahlı saldırı daha!
4173,cc885e2d-5682-4be1-a9b0-d6469e1bc81e,Son dakika... ABD'de bir okulda silahlı saldırı! Çok sayıda ölü ve yaralı var
9419,05917161-1f94-44ea-9158-57d8cb999be1,ABD'de silahlı saldırı: Ölü ve yaralılar var...
7911,173e4aa2-5cfe-4aaf-a4a1-daa5319ceba9,ABD'de silahlı saldırı! Senatör vuruldu
8265,614cf8bb-fb0f-445d-aa14-6586ab0709e6,ABD'de Çin konsolosluğuna silahlı saldırı
3934,5fb8a0a5-5225-440c-8c5b-9ebb5b08b8b2,ABD’nin en kanlı silahlı saldırısının yeni görüntüleri yayımlandı
2110,8e38b4bb-8301-4c47-86b6-6157dd8e3f41,"ABD'de bankada silahlı saldırı: 4 ölü, 5 yaralı"
3587,a9ffa2f7-ba39-497c-8f1e-545126123171,ABD'de üniversitede silahlı saldırı - MedyaFaresi.com
270,248d3a1e-1fed-4cab-968e-60e81e3e4f12,ABD'de silahlı saldırı: 3 ölü
2107,1ed4b4c7-abe2-4784-9517-4030746c69c4,ABD'de silahlı saldırı: 7 ölü
2270,f4483c0a-bc1b-4c5e-a8a9-50a4b37ff21b,ABD'de Çin konsolosluğuna silahlı saldırı Los Angeles'ta bulunan Çin konsolosluğuna 60 yaşlarında ve Asyalı olduğu iddia edilen bir saldırgan 17 el ateş etti. Saldırgan daha sonra intihar etti.
795,90f68aaf-02be-45c3-ae13-12176e6a2216,ABD’de alışveriş merkezinde silahlı saldırı düzenleyen Arcan Çetin hücresinde ölü bulundu
9204,169a4e29-e2be-4518-8209-ce74db6675e5,ABD'de silahlı saldırı
5785,e0746c33-98bb-462b-b594-9d1d8c9818a8,8 grafikte Amerika da bireysel silahlanma - Dünya - T24
8435,65fd3d05-7e46-4a55-b574-ad7e38d71398,ABD Ankara Büyükelçiliğine silahlı saldırı
4304,b843da7c-e0ce-4b94-9c37-8766cb6c57b0,"Trump, New York saldırganı için ‘ölüm cezası’ istedi"
9044,55bd927a-58f9-4242-993f-d64ef663791e,Son dakika... ABD Florida'da silahlı saldırı
1254,f35a6db5-e392-4afb-8188-99bc9b8474fa,"ABD’nin New Jersey eyaletinde silahlı saldırı: 1 ölü, 20 yaralı"
3397,4b4fcba1-52e3-470d-ac28-79ab98fa4103,ABD’de Black Friday alışverişi yapanlara silahlı saldırı!
8279,c7c42d11-ae6b-42bd-b6cf-a8f6b182730e,ABD’de kongre üyesine silahlı saldırı
218,47173a87-588a-4e79-86c2-a14b0e7c78e1,ABD Büyükelçiliğine silahlı saldırıda 3 tutuklama
6338,50be9da0-dcbd-47be-9d30-e1b9f54d7228,"ABD’de silahlı saldırı: 1 ölü, 6 yaralı"
7020,55d24167-ceb6-404d-a66b-555a162e9529,ABD’de bakımevine silahlı saldırı: 5 ölü
5624,a5261d17-1822-4e4a-91b2-e8a09c871e88,GÜNCELLEME- ABD'de silahlı saldırı
1553,1cbe5803-1421-4e4e-93d0-ff24dac87885,ABD’de okulda silahlı saldırı
1678,11bb335b-c2cd-4ef2-af9b-db494a5e9174,AMERİKA 1 GÜN ÖNCE ABD'de askeri Üsse saldırı alarmı! ABD'de askeri Üstte silahlı saldırı alarmı verildi. Andrews askeri ÜssÜ giriş ve Çıkışlara kapatıldı.
2665,d219f2e2-e97e-44ea-b6c8-795b0f1c9341,ABD’nin Ankara Büyükelçiliğine silahlı saldırı gerçekleştirdikleri gerekçesiyle gözaltına alınan 6 şüpheliden 3’ü çıkarıldıkları mahkemece tutuklandı. 3 şüpheli ise adli kontrol şartıyla serbest bırakıldı.
6392,86fb54a0-de03-48cb-940f-526f66019049,ABD'de silahlı saldırı: 7 ölü
5340,7d8bd17c-52d6-4c83-8a58-68be3964b339,ABD’yi kana bulayan saldırganın detayları ortaya çıktı
2213,f04bd083-8afe-4e56-a0ef-8341aa7200d6,ABD Ankara Büyükelçiliği'ne silahlı saldırı Bunu okuyanlar bunları da okudu Yorumlarınız
4880,ece0da8b-4324-4ec1-ad7b-b4544376b9c3,ABD'de hava üssüne silahlı saldırı alarmı
4748,0ae313ca-4d9f-4427-b1f9-f1f5f6f1e887,ABD: Teksas saldırganının kimliği açıklandı
8109,e25a7b6e-5809-4848-b822-e3c738fc0476,ABD'de liseye silahlı saldırı: 10 kişi yaşamını yitirdi
7716,e7619a02-5744-4987-b9fc-a5e0a68a84cb,ABD Büyükelçiliğine silahlı saldırıda 3 tutuklama
1479,6c8fc69d-30a5-499d-8f7e-41aa729d1a0b,ABD'de Çin Konsolosluğu'na silahlı saldırı
5796,28406331-6ef9-4760-bf46-e31d2a2cedb2,ABD Florida'da silahlı saldırı
924,603897b1-6331-4fe5-b376-c662fc536b94,Amerika'da hastaneye silahlı saldırı
9539,7e87c3de-6c8b-4212-b4d8-9124ec8262a9,"ABD’de bir silahlı saldırı girişimi daha - Timeturk: Haber, Timeturk Haber, HABER, Günün haberleri, yorum, spor, ekonomi, politika, sanat, sinema"
3319,a5615e04-0f8c-4052-acb4-60e3299e3d31,ABD'de silahlı saldırı! Ölü ve yaralılar var!
2483,2e50c1aa-636e-410f-b639-45b5d4e89cbb,ABD’de bir silahlı saldırı girişimi daha!
8987,826317e1-92b3-4e05-abef-8debf37d3abf,11:09 ABD Las Vegsa'taki silahlı saldırı anı görüntüleri ortaya çıktı!
2387,9878de54-ed7d-4642-9410-fba1d6826001,ABD Başkanı Trump'un golf tesislerine silahlı saldırı
6079,17e607d5-cd9c-4dfb-ae4b-1451d527158e,"ABD'de silahlı saldırı Ölü ve yaralılar var"""
4708,2e282e4b-1c30-4c67-a45c-d912f7d54bdb,ABD’de bakımevine silahlı saldırı: 5 ölü
1633,e3aa3b1f-bbbc-4a87-b4f5-a38289199e21,ABD’de silahlı saldırı! Çok sayıda ölü ve yaralı var
2515,f7ed2038-cbb4-4774-9e8a-71e49c381c4f,ABD’de gece kulübüne silahlı saldırı: Çok sayıda ölü
2326,a9d81cf3-9275-4430-85b1-72fbfcbb9a90,ABD Büyükelçiliği’nden silahlı saldırıya ilişkin açıklama
9039,7e01dbf2-50e0-4539-9644-4bb58e807034,ABD’de restorana silahlı saldırı
1847,7dbdc931-730a-4039-9043-a07404b26bb7,"ABD'de sinagogda silahlı saldırı; 11 ölü, 6 yaralı - Dünya - T24"
6134,f529a101-5979-4c53-99a0-917fb41bb6ca,ABD'de 8 kişiyi öldüren saldırgan böyle yakalandı
476,aac37402-7b99-43de-b7dd-d2266e663a38,ABD'de silahlı saldırı! Hayatını kaybedenler var...
1803,1ee290e4-7bda-4eed-abc8-ea597840215a,ABD'de silahlı saldırı
5699,e670f758-5ffb-4412-a788-594f70c18bea,ABD Büyükelçiliği saldırganı gözaltında: Bizimle oynamayın!
9084,ae33144d-393c-4585-9f14-6c9fc3f7e1f6,ABD’de gazete binasına silahlı saldırı
1454,a7231b1a-1e8c-4e62-9689-2acd31af3543,ABD’de iki ayrı silahlı saldırı
1993,664fb91c-8a30-4264-a806-6a90d4d6e76a,"ABD'de silahlı saldırı: 1 ölü, 6 yaralı"
6334,19e25962-f47d-4264-bc9d-b743789d45ea,ABD konser silahlı saldırı son dakika haberleri Las Vegas ta ölü ve yaralılar var
8532,f0e9e44b-e874-4dff-ab98-a99b3698e513,"İstanbul da gece kulübüne düzenlenen silahlı saldırı, 13 Kasım 2015 te Fransa nın başkenti Paris te ve 12 Haziran 2016 da ABD nin Orlando kentinde eşcinsellerin gittiği bir gece kulubüne düzenlenen saldırıları akıllara getirdi. Yine Tunus ta DAEŞ in bir otele düzenlediği saldırıda çoğunluğu turist 39 kişi öldürülmüştü. devamını okuyun"
6106,7a060570-af5c-423c-99b6-5ada3e8a15cd,"ABD'de askeri üsse saldırı, yanlış alarm çıktı ABD'de Andrews Askeri Üssü'nde silahlı saldırı olmadığı, yanlış alarmdan kaynaklandığı belirtildi. Üste giriş ve çıkışlar kapatılmıştı."
3367,3c730839-a799-4a16-be82-23141b8f67aa,Çin'den ABD'nin saldırgan politika eleştirisine cevap: Aynada kendinize bakın
3709,d2ff7c61-4f18-456f-a099-965ca216be4c,ABD'de silahlı saldırı: 2 polis öldürüldü
5469,f9b1fd76-27bd-4f6a-8a52-15ce05a21761,Dünyadaki toplu saldırıların üçte ikisi ABD'de yaşanıyor
4938,e6c43de1-c7fd-489c-8834-65351732433d,AMERİKA 19 SAAT ÖNCE ABD Hava Akademisi'nde silah sesleri! ABD'nin Colarado'daki Hava Kuvvetleri Akademisi'nde bir silahlı saldırgan ateş aÇtı.
4912,ba1a7f93-aa58-499c-a355-3e1e8dcf3f95,ABD'de adliye binasında silahlı saldırı: 3 ölü
1726,5217362f-a868-4e9e-8477-febcf5318bae,ABD’de hastanede silahlı saldırı
1686,83403fb8-2984-4b37-99a5-e4759395ac85,"ABD'de silahlı saldırı: 1 ölü, 6 yaralı"
1149,cdcedfbe-3d94-4c1c-9853-7a1092b1aa34,Trump'tan silahlı saldırı yapılan sinagoga taziye ziyareti
5855,3c1df26e-48e7-4168-8805-da723ea063c2,ABD Büyükelçiliğine silahlı saldırı gerçekleştiren 2 kişi gözaltına alındı
5313,46f3158d-05f1-4bfe-927e-ac0a3eefc640,ABD'de alışveriş merkezine silahlı saldırı: Ölü ve yaralılar var
9391,e7093685-6d56-477b-9cd6-2d986e0c91dc,ABD'de parkta silahlı saldırı
3254,8ee10f8b-4d9f-43c5-be9a-9d85d84a89c0,Son dakika: ABD'de konsere silahlı saldırı.. 20'den fazla ölü 100 yaralı
4319,15ebfd76-a979-48d9-8588-a96f70cb3e72,ABD'de liseye silahlı saldırı: 2 ölü
3716,91acc713-0177-4ce6-8d9a-d74439d07cee,"ABD’de silahlı saldırı: 3 ölü, 2 yaralı"
4893,876c008e-b1de-4482-8dba-a69b546eacd3,"Trump yönetiminden ""silah kontrolü"" adımı - Hürriyet"
6764,d5dbbeb1-63e3-4a68-882e-c538186c307d,ABD Kongresi Ziyaretçi Merkezi'nde silah sesleri; saldırgan gözaltına alındı - Dünya - T24
3284,1d2022be-7c31-4274-ac15-6244c92c9825,ABD de &#199;in konsolosluğuna silahlı saldırı
2192,6ae114a7-00db-4b86-bf19-0e4dbe75ec3f,Trump yönetiminden 'silah kontrolü'adımı
413,ec1ead1f-5b13-426f-a05e-41ae95e875a7,ABD de silahlı saldırı şoku: 1 kişi hayatını kaybetti
6277,432b71ca-3e6e-4191-9dd2-1626180963b7,02:30 - ABD’de silahlı saldırı: 3 ölü
7376,0c8fda20-448f-479d-93c2-6d3003f2d958,ABD Chicago'da üniversite yakınında silahlı saldırı
6185,4ca9aa93-a542-4fa7-8029-8679e551c8a5,ABD’de silahlı saldırı düzenleyen şahıs yakalandı - DÜNYA Haberleri
4724,7576312c-fc93-4166-9a73-cf5c3221c5cc,ABD’de lisede silahlı saldırı: Ölü ve yaralılar var
6195,c9bd3806-59ee-49b0-8fb1-c402c0f4c67c,ABD’de öğrenciler silah yasasını protesto etti
8654,853a6da2-692d-4505-891f-068993b26781,ABD’de silahlı saldırı girişimi
8522,fd143590-3696-43da-bdb9-7029f041fd16,ABD’de silahlı saldırı
817,7b257d72-b98e-44e2-970c-d6cc576547d4,ABD'de silahlı saldırı
5548,266a7067-2dee-472f-b32b-d3433fa8613d,ABD’de gece kulübüne silahlı saldırı: 17 yaralı
535,bcde2d97-41d4-44c8-8ea3-c83f7a4cb7da,ABD'de askeri üsse silahlı saldırı alarmı
8959,09ed77d8-d783-452c-96f7-6c7b7806e4f0,ABD'nin Ankara Büyükelçiliğine silahlı saldırı
8156,2d4468e9-03e6-443e-9dfa-8c122559b1a6,"23:20 ABD'de kiliseye silahlı saldırı: En az 27 ölü, 25 yaralı!"
5863,e4d0db1f-6632-4518-ac3d-5b476bf26a30,ABD’de öğrenciler silah yasasını protesto etti
8295,2a16d33d-21a1-4e76-a6b9-59d481a451ee,ABD'de bir liseye düzenlenen silahlı saldırıda ölü ve yaralılar var
2674,dcbbc65e-0368-4c3e-adb1-150508a48c8a,California'da barda 12 kişiyi öldüren saldırgan eski Amerikan deniz piyadesi
190,2b0f8509-95d6-4fb7-956a-aabbef73f15c,ABD Büyükelçiliğine silahlı saldırı gerçekleştiren 2 kişi gözaltına alındı
8870,1b989c52-9967-48be-920e-a169d28092b0,ABD'de liseye silahlı saldırı: 2 ölü - AKŞAM
8905,86e37824-d3df-4e77-a582-736781c3307a,ABD'de silahlı saldırı ABD’nin Teksas eyaletinde bir süpermarketten silah sesleri geldiği ve saldırganın binada bulunan bazı kişileri rehin almış olabileceği belirtildi.
75,39d9c8a8-82dc-4b1d-96fb-f7c5dc20858c,GÜNCELLEME - 3 ABD'de bir sinagoga silahlı saldırı düzenlendi
347,881967db-ab5a-4432-b6dd-8c452532e905,ABD’de okulda silahlı saldırı: 3 yaralı!
6038,dfc4b509-cf62-4744-a09e-5e213a51634b,ABD’de bakımevine silahlı saldırı: 5 ölü
9525,fae2f80d-c93e-453d-8147-079bd6892670,Güvenlik 55 milyon dolarlık vurgun yapan Türk siber saldırganlar yakalandı ABD de ATM ler üzerinden 55 milyon dolarlık soygun gerçekleştiren Ercan Fındıkoğlu liderliğindeki Türk siber saldırgan grup yakalandı. Ekrem Uçman 03 MART 16 / 15:05
248,2b999adb-ce2c-4656-a909-4500c35b7c6d,2- ABD Büyükelçiliğine silahlı saldırı
9128,b556c628-46a5-46f5-a68e-400eb354b4a1,ABD Başkanı Trump'un golf tesislerine silahlı saldırı
