guid,text_a,text_b,theme1,theme2,theme3
46101,USA Obama will Waffengesetze im Alleingang verschärfen,a,3,2,
4198,Massendemo gegen Waffengewalt : Die Jugend marschiert gegen Trump,a,7,3,
14648,Schüler in den USA demonstrieren für schärferes Waffenrecht - Deutschland & Welt - Rhein-Zeitung,a,7,2,
8013,Fotos USA: Hunderttausende demonstrieren gegen Waffengewalt,a,7,,
30478,"Neue Westfälische (Bielefeld): Kommentar: Trumps Äußerungen zum Waffenrecht Genug ist genug Dirk Hautkapp, Washington....",a,3,2,
15837,Nach Amoklauf in Florida: Trump will Schnellschuss-Vorrichtungen verbieten lassen,a,3,2,
15598,Schlaglichter: Massenprotest in den USA gegen Waffengewalt,a,7,,
13185,Demonstrationen Massenprotest gegen Waffengewalt bewegt USA Hunderttausende mobilisiert,a,7,,
22393,04:42 Politik Ausland Nach Highschool-Blutbad Trump besucht Amoklauf-Opfer im Krankenhaus,a,3,,
16481,USA: Schüler demonstrieren für schärferes Waffenrecht,a,7,2,
13717,Nach Florida-Attentat: Trump zeigt sich offen für strengere Waffengesetze,a,3,2,
10205,Schüler-Proteste gegen Waffengewalt in den USA :  Kinder der Demokratie,a,7,2,
8040,Schüler in den USA demonstrieren für schärferes Waffenrecht | Haller Kreisblatt - Politik,a,7,2,
39113,"Waffenrecht Amerika, eine zutiefst militarisierte Gesellschaft Die Tragödie von Dallas ruft Erinnerungen an vorige Attentate wach. Doch Amerika dürfte weiter am Waffenrecht festhalten. Warum?  mehr",a,8,1,
10877,+++ US-Politik im News-Ticker +++ Trump rudert bei schärferen Waffengesetzen zurück,a,3,2,
4348,"Amoklauf in Newtown, USA: Kommen schärfere Waffeng...",a,2,,
13531,Massenprotest gegen Waffengewalt bewegt Amerika - Themen des Tages - mittelhessen.de,a,7,,
18043,"Reaktionen auf Florida-Amoklauf Hollywoods scharfer Angriff auf Trumps ""rechte Konsorten"" und die Waffenlobby",a,3,,
11531,Trump rückt von Forderung nach schärferem Waffenrecht ab - News-Ticker - Pforzheimer Zeitung,a,3,2,
26142,"Diese Grafik zeigt eindrücklich, wie alltäglich Massenschiessereien in den USA …",a,8,,
13613,USA: NRA klagt gegen verschärftes Waffengesetz in Florida | FR.de,a,3,2,
17600,Politik Waffengesetze : US-Präsident Trump will für „Freunde' aus Waffenlobby einstehen Der Präsident will das Recht auf Waffenbesitz in den USA nicht einschränken.,a,3,1,
7928,Schüler in den USA demonstrieren für schärferes Waffenrecht - Themen des Tages - mittelhessen.de,a,7,2,
11386,Debatte nach Amoklauf in Florida - Trump rückt das FBI in den Fokus,a,3,,
8475,Hunderttausende auf der Straße Schüler protestieren gegen die Waffengewalt in den USA,a,7,2,
23172,Waffengesetz in den USA :  Dem Massaker folgt nur ein Reförmchen,a,2,,
11389,Donald Trump: Waffenrecht in den USA soll verschärft werden,a,3,2,
44603,Video: Waffenrecht in den USA: Präsident Obama kündigt Verschärfung an | tagesschau.de,a,3,2,
8118,Massenprotest in den USA gegen Waffengewalt - Panorama - HARZ KURIER,a,7,,
15863,23:42 Uhr Schüler in den USA demonstrieren für schärferes Waffenrecht,a,7,2,
14956,Nach Schul-Amoklauf: Donald Trump fordert Rating-System,a,3,5,
11484,Schüler in den USA demonstrieren für schärferes Waffenrecht | Top-Themen | Deutschland & Welt | DIE HARKE,a,7,2,
43390,4 USA Sitzblockade im US-Kongres für strengeres Waffenrecht,a,3,2,
16409,Erst der Anfang - Massenprotest gegen Waffengewalt in USA,a,7,,
27728,Trumps Äußerungen zum Waffenrecht – Genug ist genug,a,3,2,
11009,Massenprotest gegen Waffengewalt in den USA | Frankenpost,a,7,,
25739,130 Attentate in 50 Jahren – Darum werden die USA trotz Las Vegas ihre Waffengesetze nicht ändern,a,1,2,
25288,Trump will auch nach Texas nicht am Waffenrecht rütteln - Emder Zeitung,a,3,1,
11900,USA Eine Tote bei Schießerei an Schule in Alabama - Florida für schärfere Waffengesetze,a,2,,
15025,Taylor Swift für schärfere Waffengesetze in den USA - Taylor Swift News,a,2,,
8991,Massenprotest gegen Waffengewalt bewegt USA | Topthemen - LZ.de,a,7,,
24565,Schusswaffen in den USA: Demokratische Generalstaatsanwälte lehnen Waffengesetz ab,a,3,2,
12758,Massenprotest gegen Waffengewalt bewegt USA | obermain.de,a,7,,
1615,Santa Fe High School : Debatte über Waffengewalt in den USA nach Schießerei in Schule neu entfacht,a,7,,
23335,Schießerei in Kalifornien Donald Trump twittert halbrichtige Beileidsbekundung zu altem Amoklauf,a,3,,
12568,Schulen - Hunderttausende demonstrieren in den USA für ein schärferes Waffenrecht - UNTERNEHMEN-HEUTE.de,a,7,2,
15241,22:59 Treffen mit Trump Schüler in den USA demonstrieren für schärferes Waffenrecht,a,3,2,
44191,"Waffenrecht Amerika, eine zutiefst militarisierte Gesellschaft",a,1,8,
14945,Massenprotest in den USA gegen Waffengewalt Washington (dpa) - Knapp sechs Wochen nach dem Schulmassaker von Parkland haben…,a,7,5,
17662,Trump will Opfern von Amoklauf sein Beileid aussprechen – und macht groben Fehler,a,3,,
39714,USA: Obama macht Ernst mit Verschärfung des Waffengesetzes,a,3,2,
20234,"Wie kann man die Waffenlobby und die konsevativen Republikaner in den USA zur Einsicht bewegen, die Waffengesetze zu verschärfen?",a,3,2,
13265,Donald Trump will Waffengesetze in den USA verschärfen,a,3,2,
14265,Trump zu kleineren Korrekturen des Waffenrechts bereit - News Deutschland,a,3,2,
40190,Nach Amoklauf in Orlando :  Clinton und Trump streiten im Wahlkampf über den Islam,a,3,6,
38321,"US-Wahlkampf Homo-Ehe, Todesstrafe, Waffenrecht - was Clinton und Trump dazu sagen",a,1,3,
40409,Orlando - Buchstäblich jeden Tag sterben in den USA Dutzende Menschen durch Waffengewalt,a,8,,
43452,USA Blockade im US-Senat: Kein strengeres Waffenrecht in Sicht,a,3,2,
45771,Waffengesetze in den USA: So zieht die Waffenlobby ihre Fäden - SPIEGEL ONLINE,a,1,3,
29516,"Mit seiner indirekten Aufforderung zu Waffengewalt, sei Donald Trump zu weit gegangen, sagt Hillary Clinton weiterlesen...",a,3,,
746,WTF: Kinderlied bereitet Kindergartenkinder in den USA auf Amoklauf vor,a,8,,
8715,Donald Trump verspricht Mini-Änderungen am US-Waffenrecht,a,3,2,
14972,Trump will US-Waffenrecht korrigieren,a,3,2,
7490,Christian Bale über Waffengewalt in den USA: „Wir Erwachsenen sollten uns schämen“,a,7,,
21475,"Feature Hintergrund 256 Postings Waffengesetze in den USA USA: Viele Waffen, wenige Regeln Mehr als ein Drittel aller US-Amerikaner lebt in einem Haushalt, in dem es Waffen gibt. Nur wenige Gesetze beschr&#228;nken den Gebrauch",a,1,,
13661,Massenprotest in USA gegen Waffengewalt: »Genug ist genug«,a,7,,
11462,Waffengesetze - „March for Our Lives': Massendemo gegen Waffen in den USA - Politik - derwesten.de,a,1,7,
12695,Debatte um Waffenrecht in den USA: Mehrere US-Firmen beenden Unterstützung für NRA,a,9,1,
8774,6 Minuten und 20 Sekunden Schweigen gegen Waffengewalt Landesweite Proteste nach dem jüngsten Schulmassaker in der USA / Schüler fordern eine Verschärfung der Waffenkontrollen,a,7,2,
26369,Eine Debatte über das Waffengesetz in den USA ist notwendig,a,1,,
45201," Video, Spike Lee warnt vor Waffengewalt in den USA",a,7,,
11782,Meldungen: Massenprotest in den USA gegen Waffengewalt,a,7,,
15567,29 Postings USA US-Firmen beenden Zusammenarbeit mit Waffenlobby NRA Zunehmender Druck in sozialen Netzwerken nach dem Amoklauf eines 19-J&#228;hrigen in Florida,a,9,7,
11940,Radio-MK: Emotionaler Protest gegen Waffengewalt in den USA,a,7,,
8129,Seit dem Amoklauf in Parkland wächst in den USA der Widerstand gegen die lockeren Waffengesetze. ...,a,7,1,
12509,Schüler in den USA: Tausende demonstrieren gegen Waffengewalt,a,7,,
15586,Demonstrationen: Erst der Anfang - Massenprotest gegen Waffengewalt in USA - News Deutschland,a,7,,
15673,Elternabend in den USA – oder wie überleben meine Kinder einen Amoklauf?,a,5,,
9580,Protest in den USA Schüler streiken für schärfere Waffengesetze,a,7,2,
9832,Schï¿½ler in den USA demonstrieren fï¿½r schï¿½rferes Waffenrecht - Panorama - HARZ KURIER,a,7,,
11362,International: Massenprotest gegen Waffengewalt bewegt USA,a,7,,
44619,Waffengesetze in den USA Blockierer in der Mehrheit,a,1,3,
10708,Regierung Schulen Kriminalität Waffen USA: Trump rückt von Forderung nach schärferem Waffenrecht ab,a,3,2,
11589,USA Hunderttausende Schüler demonstrieren für schärferes US-Waffenrecht,a,7,2,
13057,Hunderttausende protestieren Massenprotest gegen Waffengewalt bewegt Amerika,a,7,,
12075,Hunderttausende gehen in den USA gegen Waffengewalt auf die Straße Artikel bookmarken,a,7,,
15205,Dieser kuriose Vorschlag soll zu schärferen Waffengesetzen in den USA führen,a,2,,
17779,Historischer Protest gegen Waffengewalt in den USA - Hunderttausende auf den Straßen,a,7,,
19344,Hunderttausende protestieren in den USA gegen Waffengewalt | Neue Presse Coburg,a,7,,
20909,USA: Debatte um Waffengesetze trifft einige Fahrradzubehör-Marken hart,a,1,9,
22474,USA: Hunderttausende zu Protest gegen Waffengewalt in Washington erwartet,a,7,,
24039,20:38 Massenprotest in den USA gegen Waffengewalt,a,7,,
25604,Hintergrund: Waffen und Waffenrecht in den USA &#8250;,a,1,,
27169,Hunderttausende auf der Straße: Schüler protestieren gegen die Waffengewalt in den USA,a,7,,
16667,17 Minuten Stille 18:31 Uhr Emotionaler Protest gegen Waffengewalt in den USA,a,7,,
28734,Kriminalität Waffen USA: Floridas Gouverneur unterzeichnet strengeres Waffengesetz,a,3,2,
30299,Schießerei in Kalifornien: Donald Trump twittert halbrichtige Beileidsbekundung zu altem Amoklauf,a,3,,
31864,Obama und das Waffenrecht: Es fehlt eine starke Linke in den USA,a,3,1,
33429,US-Waffengesetze Trump offen für kleine Veränderungen,a,3,1,
15702,USA - Hunderttausende Schüler demonstrieren für schärferes US-Waffenrecht,a,7,2,
45167,USA - Gesetzesentwürfe für schärferes US-Waffenrecht scheiterten im Senat,a,3,2,
11749,"Politik und Wirtschaft Treffen mit Opfern des Amoklaufs : Trumps Notizzettel zeigt, was für ein Mensch er ist Außerdem präsentierte der Präsident eine krude Lösung für das Waffenproblem.",a,3,,
8426,Topthemen Massenprotest gegen Waffengewalt bewegt USA,a,7,,
12159,Proteste in Amerika : Tausende Jugendliche gegen Waffengewalt,a,7,,
2028,Panorama Zehn Tote : Schüler gesteht Massaker von Texas – Opfer angeblich bewusst ausgewählt In die Debatte um Waffenrecht in den USA kommt kaum Bewegung.,a,2,,
10503,MARCH FOR OUR LIVES : Amerikas Schüler im Kampf gegen Waffengewalt,a,7,,
11786,Hamburg: Rund 100 demonstrieren gegen Waffengewalt in den USA - nachrichten.de,a,7,,
13112,USA: Neuer Ruf nach schärferen Waffengesetzen,a,2,,
16164,Waffengewalt in Amerika : „Schießereien gehören zum Alltag',a,8,,
17690,Frage nach schärferen Waffengesetzen in den USA neu entbrannt,a,2,,
12557,Massenprotest gegen Waffengewalt bewegt USA | Nachrichten - LZ.de,a,7,,
20504,US-Repräsentantenhaus USA: Waffenrecht bald noch lascher?,a,3,1,2
18274,Blutbad in Florida - Trump vermeidet Debatte über Waffenrecht,a,3,1,
7957,Nach dem entsetzlichen Amoklauf mit 17 Toten an einer Schule in Florida scheint ein wenig Bewegung in die Waffen-Debatte in den USA gekommen zu sein. Ein Waffenlieber entschloss sich sogar zu einem drastischen Schritt,a,2,,
14224,USA: Millionen fordern strengeres Waffengesetz,a,7,,
9989,Das junge Amerika geht gegen Waffengewalt an Schulen auf die Strasse,a,7,5,
19108,Sutherland Springs - Nach dem Massaker in einer Kirche in Texas mit 26 Toten wird in den USA wieder über schärfere Waffengesetze diskutiert.,a,2,,
14403,Wutwelle wächst - Schüler-Aufstand gegen Trumps Waffengesetze,a,7,2,
9660,“Viele Ideen“ Kein schärferes Waffenrecht: So will Trump stattdessen Schüsse an Schulen verhindern,a,3,5,1
7744,"mehr » Endlich sagt sie ihre Meinung: Taylor Swift spricht sich für schärfere Waffengesetze in den USA aus Zum ersten Mal wird Taylor politisch. Wurde auch langsam Zeit, oder? Seht ihren starken Post zum Thema Waffengewalt, hier.",a,7,2,
12910,USA: Schüler streiken für schärfere Waffengesetze - SPIEGEL ONLINE,a,7,,
20021,» » Nach Kirchen-Massaker: Trump verteidigt Waffengesetze,a,3,1,
8491,Waffengewalt: Amerikas Jugend schweigt nicht mehr,a,7,8,
42716,Waffenrecht in den USA: Verdecktes Waffentragen verboten,a,2,,
16222,"USA: Schüler demonstrieren für strengere Waffengesetze - und werden bedroht, ausgelacht und bestraft - News Deutschland",a,7,2,
9664,Demonstrationen &#034;Erst der Anfang&#034;: Protest gegen Waffengewalt in USA,a,7,,
11572,Nachrichten Thema des Tages: Protest gegen Waffengewalt Waffengewalt: Amerikas Jugend schweigt nicht mehr Nachrichten der Ortenau - Offenburger Tageblatt,a,7,8,
22363,Fränkischer Tag'zu USA/Waffenrecht,a,1,,
38973,Waffenrecht in den USA: Verdecktes Waffentragen verboten - taz.de Verdecktes Waffentragen verboten,a,2,,
26091,Krankenhausbesuche: Donald und Melania Trump besuchen Opfer des Amoklaufs | news.de,a,3,,
14165,Waffengesetz - Trump offen für strengere Regeln,a,3,2,
15809,Washington gegen Waffengewalt demonstrieren. Foto: Jose Luis Magana/AP Foto: dpa Washington - Mit Massenprotesten haben Hunderttausende Menschen in den USA den Druck auf die mächtige Waffen-Lobby und die Politik,a,7,3,
15204,Kriminalität Waffen USA: NRA klagt gegen verschärftes Waffenrecht in Florida,a,3,2,
16909,"Junge Aktivisten in den USA malen Plakate gegen Waffengewalt. (Foto: AFP) Angeführt von Überlebenden des Amoklaufs an ihrer Schule in Parkland, Florida, findet an diesem Samstag eine Großdemonstration in Washington",a,7,,
11674,"Massenproteste gegen Waffengewalt in den USA: ""Wir werden die Welt verändern""",a,7,,
21489,Attentat in Las Vegas : Trump hält Debatte über Waffengesetze für „verfrüht',a,3,2,
16951,"17 Minuten Stille, Schüler-Proteste gegen Waffengewalt in den USA",a,7,,
11457,+++ US-Politik im News-Ticker +++ - Donald Trump rudert bei schärferen Waffengesetzen zurück,a,3,2,
44546,Waffenrecht in den USA Verdecktes Waffentragen verboten,a,1,,
17289,USA: Warum der Kampf um schärfere Waffengesetze so schleppend vorankommt,a,2,,
40889,Video-News Spike Lee warnt vor Waffengewalt in den USA,a,7,,
41452,Schärfere Waffengesetze in den USA: Obama startet Alleingang - watson,a,2,3,
9601,"Nach ""March for Our Lives"" Emotionale Debatte über Waffengesetze in den USA",a,7,1,
10720,Waffengesetze Schulmassaker: Haben die USA die Kraft zur Besinnung?,a,1,8,
16304,"Trump will Schulen gegen Waffengewalt ""abhärten""",a,3,5,
14225,Massenprotest in USA gegen Waffengewalt: «Genug ist genug» - Topthemen - Eßlinger Zeitung,a,7,,
13625,Erneute Proteste in USA gegen Waffengewalt und zu lockere Gesetze,a,7,2,
8795,09:58 Uhr Hunderttausende protestieren in den USA gegen Waffengewalt,a,7,,
23164,Sie verdammtes Stück Scheiße: Schülerin attackiert Trump nach Amoklauf,a,3,7,
22438,Die Waffengesetze in den USA sind eine Einladung zum Mord,a,1,,
15021,Nach Amoklauf in den USA: Protestaktion gegen Waffengewalt: Schüler verlassen den Unterricht,a,7,,
13789,Massenprotest gegen Waffengewalt in Amerika,a,7,,
10138,Massenprotest in USA gegen Waffengewalt: «Genug ist genug» - Panorama - Nachrichten aus aller Welt - Ludwigsburger Kreiszeitung,a,7,,
10827,Massenprotest gegen Waffengewalt in den USA: Die überlebenden Schüler des Massakers in Parkland geben ...,a,7,,
14086,US-Präsident Trump will Waffengesetze leicht verschärfen,a,3,2,
6236,Werbung - Auch Levi's fordert schärfere Waffengesetze in den USA - UNTERNEHMEN-HEUTE.de,a,9,2,
14990,"Texas baut schusssichere Schule In den USA kommt es immer wieder zu Amokläufen an Bildungseinrichtungen. Da sich die Regierung nicht auf eine Verschärfung des Waffenrechts festlegen will, sollen nun bautechnische Maßnahmen helfen.",a,5,2,3
10847,Update US-Präsident nach Parkland-Massaker :  Trump will Waffengewalt bekämpfen - mit noch mehr Waffen,a,3,,
15317,Schülerstreik gegen Waffengewalt in den USA,a,7,,
11040,Waffenrecht in den USA: Wer ist die NRA - und warum ist sie so mächtig?,a,1,3,
11955,Trump zögert mit Waffengesetz : Parlament in Florida lehnt Sturmgewehr-Verbot ab,a,3,2,
15633,Tag der Proteste gegen Waffengewalt in den USA,a,7,,
9166,Deutschland & die Welt 21.02.2018 USA: Washington Trump trifft Amok-Überlebende US-Präsident Trump will sich heute - eine Woche nach dem Schul-Amoklauf in Florida - mit Schülern und Lehrern treffen.,a,3,,
16497,Trump offen für besseres Waffenrecht - nachrichten.de,a,3,2,
13680,Nur geringe Proteste in Deutschland gegen Waffengewalt in den USA,a,7,,
12511,USA: Debatte um Waffenrechts-Verschärfung gewinnt an Fahrt,a,2,,
25208,USA Repräsentantenhaus beschließt Lockerung des Waffenrechts,a,3,2,1
9030,Weltgeschichte: Elternabend in den USA - oder wie überleben meine Kinder einen Amoklauf-,a,5,,
5746,Waffengewalt in den USA Junge rührt Trumps Sprecherin fast zu Tränen,a,3,,
39746,"Obama will schärferes Waffengesetz im Alleingang durchsetzen - News Ausland: Amerika - langenthalertagblatt.ch, langenthalertagblatt.ch: Nichts verpassen",a,3,2,
14054,Waffenrecht in den USA Wer ist die NRA - und warum ist sie so mächtig?,a,1,3,
25978,Fünf Tote in Kalifornien Trump twittert zum falschen Amoklauf,a,3,,
42054,Regierung Waffen USA: Sitzblockade im US-Kongress: Abgeordnete für strengeres Waffenrecht,a,3,2,
10149,23:02 Treffen mit Trump : Schüler in den USA demonstrieren für schärferes Waffenrecht dpa,a,7,2,
25635,Parkland: Trump besucht Amoklauf-Opfer im Krankenhaus – FFH.de,a,3,,
11033,Nach Amoklauf: Trump trifft sich mit Videospiel-Branche,a,3,9,
12528,USA: Hunderttausende demonstrieren gegen Waffengewalt,a,7,,
19501,Amerika erschüttert über Amoklauf an Highschool,a,8,,
9833,Sch&#252;ler in den USA demonstrieren f&#252;r sch&#228;rferes Waffenrecht,a,7,2,
23819,Kommentar zu Las Vegas: An den laxen Waffengesetzen der USA wird sich nichts ändern,a,1,2,
15719,"Waffengesetze Schulmassaker in Florida: Trauernde Schüler gegen Trump Was bringt der Schüler-Protest nach der Bluttat in Florida? Mittwoch spricht Präsident Donald Trump mit Teenagern, die überlebt haben.  mehr",a,3,,
12024,„March For Our Lives' : „Es reicht': Historischer Protest gegen Waffengewalt in den USA,a,7,,
16885,Nach dem Massaker von Parkland gehen in Florida und in Washington tausende Schüler auf die Straße: Sie wollen schärfere Waffengesetze. Trump zeigt sich gesprächsbereit - aber ob sich konkret etwas ändert?,a,7,2,3
11116,Emotionaler Protest gegen Waffengewalt in den USA | Neue Presse Coburg,a,7,,
11713,Einen Monat nach dem Schulmassaker - Tag der Proteste gegen Waffengewalt in den USA,a,7,,
12754,Programm zur Schulsicherheit Trump rückt von Forderung nach schärferem Waffenrecht ab,a,5,3,2
8205,Demonstrationen Kriminalität Schulen Waffen USA: «Genug ist genug» - Massenprotest in den USA gegen Waffengewalt,a,5,7,
10264,Hunderttausende demonstrieren in den USA für ein schärferes Waffenrecht - Nachrichten - Deutschland Today,a,7,,
12010,Nach Schulmassaker in Parkland 20:27 Uhr Massenprotest in USA gegen Waffengewalt: «Genug ist genug»,a,7,,
29591,Das Waffengesetz in Amerika?,a,1,,
8319,USA : Floridas Gouverneur unterzeichnet strengeres Waffengesetz Waffenkäufer müssen unter anderem eine Wartezeit von drei Tagen in Kauf nehmen.,a,3,2,
10658,Brennpunkte Massenprotest gegen Waffengewalt bewegt USA,a,7,8,
14682,Waffendebatte in den USA Trump will Lehrer nach Amoklauf an High School bewaffnen,a,5,,
28244,Inglewood - Die Schauspielerin Jessica Alba (35) hat sich bei der Verleihung der Teen Choice Awards für ein Ende der Waffengewalt in den USA eingesetzt weiterlesen...,a,7,,
12041,Nach dem Massaker in Parkland reißen die Proteste nicht ab. Schüler fordern schärfere Waffengesetze. Doch Trump bietet eine ungewöhnliche Lösung an.,a,7,2,3
19018,USA beschließen Lockerung von Waffenrecht,a,2,,
22332,Meinung Kommentar zu Las Vegas : An den laxen Waffengesetzen der USA wird sich nichts ändern Trump will das offene Tragen von Waffen wie in Nevada überall in den USA erlauben. Von Thomas Spang,a,1,3,
14461,Massenprotest in USA gegen Waffengewalt: «Genug ist genug» - Themen des Tages - mittelhessen.de,a,7,,
11600,Nach Amoklauf in Florida: Donald Trump signalisiert Unterstützung für bessere Kontrollen bei Schusswaffenerwerb Nach Amoklauf in Florida: Donald Trump signalisiert Unterstützung für bessere Kontrollen bei Schusswaffenerwerb,a,3,2,
14699,Solidarität: Massenprotest gegen Waffengewalt in den USA,a,7,,
1360,Debatte über Waffengewalt in den USA nach Schießerei in Schule neu entfacht,a,3,,
12070,Massenprotest gegen Waffengewalt bewegt USA Programm,a,7,,
44892,USA: Obama bereitet schärferes Waffenrecht im Alleingang vor - watson,a,3,2,
11814,Nach Amoklauf mit 17 Toten USA: Debatte über Waffengewalt,a,3,,
10252,22:59 Uhr Schüler in den USA demonstrieren für schärferes Waffenrecht,a,7,2,
9348,17 Minuten Stille Emotionaler Protest gegen Waffengewalt in den USA,a,7,,
15820,Kriminalität: Schüler in den USA demonstrieren für schärferes Waffenrecht,a,7,2,
43642,"Präsident fordert neue Waffengesetze Obama: Kampf gegen Terror nicht allein militärisch führen Orlando. Der Krieg gegen den Terror im Nahen Osten ist das eine. Barack Obama will dem Terror in den USA aber auch mit neuen Waffengesetzen bekämpfen: Wer keine Waffen kaufen kann, kann keine Unschuldigen umbringen. mehr",a,3,2,
2913,Amok in Florida: Waffenrecht in den USA und Deutschland,a,1,,
24479,Politik Massaker von Las Vegas Warum die USA ihr Waffenrecht nicht ändern,a,1,,
11259,«Genug ist genug» - Massenprotest in den USA gegen Waffengewalt | Neue Presse Coburg,a,7,,
12713,Amoklauf in Maryland : Täter stirbt nach Schüssen an High School in den USA Der Schüler hatte zuvor ein Mädchen und einen Jungen angeschossen.,a,5,,
13700,Nach Amoklauf in Florida Trump will Schnellschuss-Vorrichtungen verbieten lassen,a,3,2,
17119,Demonstrationen Kriminalität Schulen Waffen USA: Hunderttausende protestieren in den USA gegen Waffengewalt,a,7,5,
16708,Nach Amoklauf: Waffen-Gegner in den USA machen Druck auf Unternehmen,a,9,2,7
14161,Schlaglichter: Hunderttausende protestieren in den USA gegen Waffengewalt,a,7,,
9956,– Schüler-Proteste gegen Waffengewalt in den USA,a,7,,
13855,Waffengewalt in Washington organisiert - es werden Hunderttausende Teilnehmer erwartet. dpa Knapp sechs Wochen nach dem Schulmassaker von Parkland haben in den USA Hunderttausende überwiegend junge Leute für striktere,a,7,2,
16525,Nach Amoklauf: Waffen-Gegner in USA machen Druck auf Unternehmen,a,9,2,7
9046,09:58 Hunderttausende protestieren in den USA gegen Waffengewalt,a,7,,
16246,Waffenrecht in den USA: Wer ist die NRA - und warum ist sie so mächtig? - Forum SPIEGEL ONLINE,a,1,3,
41462,USA - Obama verschärft Waffengesetze - und weint,a,3,2,
17384,Amerikanische CEOs fordern schärfere Waffengesetze: Nach der tödlichen Schießerei in den USA verlangt ...,a,9,9,
37086,Waffengesetze in den USA So will Obama Waffengewalt verhindern,a,3,1,
43042,Waffengesetze in den USA Obamas Vier-Punkte-Plan gegen Waffengewalt,a,3,1,
9096,Kriminalität -Trump zu kleineren Korrekturen des Waffenrechts bereit - UNTERNEHMEN-HEUTE.de,a,3,2,
8625,Massenprotest gegen Waffengewalt bewegt USA - Emder Zeitung,a,7,,
25606,USA Software soll Lehrer auf Amoklauf vorbereiten,a,5,,
17548,05:35 | 05.10.2017 - Pressestimme: 'Fränkischer Tag' zu USA/Waffenrecht,a,1,,
10471,Massenprotest gegen Waffengewalt bewegt USA | Top-Themen | Deutschland & Welt | DIE HARKE,a,7,8,
25470,Politik Waffendebatte in den USA : Mitschüler nach Schulmassaker wollen mehr als Mitleid Trump will statt den Waffengesetzen lieber psychische Erkrankungen bekämpfen.,a,5,4,3
10491,Massenprotest in USA gegen Waffengewalt: «Genug ist genug» | inSüdthüringen.de,a,7,,
12810,Foto: APA/AFP/RHONA WISE 42 Postings Gesetzesvorlage Nach Amoklauf: Florida macht Schritt hin zu bewaffneten Lehrern Lehrer sollen an Schusswaffen ausgebildet werden. Donald Trump findet seine urspr&#252;ngliche Idee nicht mehr so gut,a,7,,
27614,"USA wählen auch neues Parlament und stimmen über Waffenrecht, Marijuana und Todesstrafe ab - watson",a,3,1,
26379,Nach dem Amoklauf an einer Highschool herrschen in den USA Ratlosigkeit und Resignation.,a,7,,
24070,Waffengesetze in den USA: Die wichtigsten Fakten im Überblick,a,1,,
8302,Massenprotest gegen Waffengewalt bewegt Amerika | Neue Presse Coburg,a,7,8,
9201,Debatte um Waffen in USA: Steven Spielberg und Oprah unterstützen Proteste gegen US-Waffengesetz (neues-deutschland.de),a,7,2,
